Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Adobe","ADBE","105420.97","265.21","5506546","5.91","18.59","7.11","41.25","-33.13","10.53","37.44","367.46","193.41","80","Computer and Technology","Computer - Software","28.69","3"
"Advance Auto Parts","AAP","3490.24","57.8","1494520","4.07","-.26","22.54","74.94","29.78","-5.42","2.28","64.17","38.75","73","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Advanced Drainage Systems","WMS","11033.1","143.95","673915","3.95","-4.33","6.13","48.87","-12.29","5.03","16.46","175.38","113.91","168","Construction","Building Products - Miscellaneous","14","3"
"Advanced Energy Industries","AEIS","13017.2","325.02","747891","12.26","5.51",".48","74.31","36.98","21.37","16.54","389.05","139.81","6","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10.77","1"
"Advanced Micro Devices","AMD","789073.06","483.36","30029076","1.51","-13.36","13.97","77.3","99.16","34.34","23.02","580.91","151.14","25","Computer and Technology","Computer - Integrated Systems","15.58","1"
"Aebi Schmidt Holding AG","AEBI","1016.1","13.11","309211","1.71","11.96","9.34","60.75","-8.55","40.58",".48","15.61","9.24","66","Auto-Tires-Trucks","Automotive - Domestic",".48","3"
"Aehr Test Systems","AEHR","3362.19","103.07","3407753","28.87","41.97","3.59","86.38","350.48","-15.21","1.82","116.58","17.38","6","Computer and Technology","Electronics - Measuring Instruments","-14.25","1"
"AerSale","ASLE","278.79","5.9","347713","-4.84","-1.99","-7.81","0","-26.78","-2.83","1.69","9","5.9","70","Aerospace","Aerospace - Defense Equipment","-1.23","3"
"Aercap","AER","25318.51","151.72","1038502",".54","1.23","8.55","92.42","-6.87","6.5","35.97","155.24","108.81","103","Transportation","Transportation - Equipment and Leasing","37.85","1"
"AeroVironment","AVAV","9450.04","186.73","1329428","25.01","29.15","18.18","18.32","-31.88","140.89","8.18","409.83","136.68","70","Aerospace","Aerospace - Defense Equipment","-9","3"
"Aeva Technologies","AEVA","1678.15","26.62","1835288","51.77","26.82","30.01","86.72","76.88","99.44","-477.41","29.29","9.19","172","Auto-Tires-Trucks","Automotive - Original Equipment","-150.12","4"
"Affirm","AFRM","25201.12","75.25","3376283","5.23","-9.79","14.33","65.9","-10.79","39.66","9.63","92.18","42.53","102","Computer and Technology","Internet - Software","9.63","2"
"Aflac","AFL","63424.61","124.61","2053512","-2.25","2.21","6.68","81.89","-.28","-9.31","21.74","129.55","102.28","183","Finance","Insurance - Accident and Health","26.91","3"
"Agenus","AGEN","311.48","6.96","11170676","-7.2","107.76","94.41","75.77","95.59","10.37","89.19","8.3","2.77","150","Medical","Medical - Biomedical and Genetics","69.33","3"
"Agilent Technologies","A","41226.59","145.97","2022180","5.49","8.7","30.68","76.09","-5.34","6.73","22.83","157.2","110.24","157","Medical","Medical - Products","19.55","2"
"Agilon Health","AGL","1603.73","95.51","416484","4.26","-16.84","16.86","71.85","389.5","-2.11","-4.24","129.84","7.91","93","Medical","Medical Services","-3.92","3"
"Agilysys","AGYS","3062.58","108.58","301553","3.25","-.37","61.24","58.77","-19.38","15.85","16.8","141.12","62.19","25","Computer and Technology","Computer - Integrated Systems","12.99","3"
"Agios Pharmaceuticals","AGIO","1926.58","32.27","1205403","7.49","-21.73","14.55","42.89","4.61","48.03","-418.24","45.49","22.34","150","Medical","Medical - Biomedical and Genetics","-418.24","3"
"Agree Realty","ADC","9406.81","75.63","1272585","-2.79","-2.98","1.57","46.24","-7.35","16.42","30.3","81.92","70.22","78","Finance","REIT and Equity Trust - Retail","28.84","3"
"Air Products and Chemicals","APD","67571.7","303.44","1110785","2.9","1.31","2.73","87.11","8.4","-.52","23.4","314.19","230.76","87","Basic Materials","Chemical - Diversified ","-.38","2"
"Airbnb","ABNB","107323.66","178.07","4302424","17.52","19.82","34.04","100","15.78","10.26","20.45","178.07","111.54","154","Consumer Discretionary","Leisure and Recreation Services","20.45","3"
"Airbus SE - Unsponsored ADR","EADSY","194520.47","61.64","548014","5.51","9.58","27.54","87.03","-6.09","10.85","7.71","64.09","45.2","70","Aerospace","Aerospace - Defense Equipment","7.71","3"
"Akamai Technologies","AKAM","16070.91","110.54","3595538","-4.03","-12.4","-26.74","44.16","11.8","5.44","23.46","161.14","70.53","170","Computer and Technology","Internet - Services","9.51","3"
"Alamos Gold","AGI","13876.23","33.15","5072573","19.12","12.52","-17.6","25.89","-24.18","34.29","38.71","55.33","25.4","234","Basic Materials","Mining - Gold","52.64","4"
"Alarm.com","ALRM","2845.47","57.53","420992","5.08","11.71","35.3","90.43","-.5","7.59","14.8","59.16","42.13","103","Industrial Products","Security and Safety Services","11.11","2"
"Alaska Air Group","ALK","5566.99","49.96","3033288","5.29","1.09","35.25","53.15","-12.35","21.34","-.82","63.86","34.19","163","Transportation","Transportation - Airline","-1.19","3"
"Albemarle","ALB","15471.64","131.11","2372064","11.45","4.01","-27.32","43.02","-18.2","-4.37","14.73","215.62","67.3","87","Basic Materials","Chemical - Diversified ","3.09","3"
"Alcon","ALC","35518.4","71.81","2201147","4.16","5.9","12.84","34.84","-19.6","4.94","14.89","90.12","62.02","150","Medical","Medical - Instruments","7.7","3"
"Algonquin Power & Utilities","AQN","4418.35","5.74","3641750","-1.71","1.59","-.17","22.98","-17.64","4.92","9.82","6.98","5.37","160","Utilities","Utility - Electric Power","5.77","4"
"Alibaba","BABA","307807.13","128.41","10058613","5.04","14.31","-3.15","35.54","-22.7","8.09","6.13","189.34","94.81","163","Retail-Wholesale","Internet - Commerce","10.31","3"
"Alight","ALIT","404.08","15.12","677572","-10.95","-22.94","-3.84","6.9","-65.79","-3","9.82","86.8","9.8","102","Computer and Technology","Internet - Software","-90.9","3"
"Align Technology","ALGN","12437.2","173.66","952395","2.66","-3.23","10.44","67.16","-1.86",".9","19.3","197.51","124.88","32","Medical","Medical - Dental Supplies","9.99","3"
"Alignment Healthcare","ALHC","2980.84","14.37","5412991","-3.23","-27.53","-8.65","9.5","-35.8","46.06",".89","24.56","13.3","93","Medical","Medical Services",".89","3"
"Alkami Technology","ALKT","2109.97","19.73","1367345","8.59","13.72","18.78","43.05","-24.53","32.89","8.23","26.53","14.59","102","Computer and Technology","Internet - Software","-9.21","4"
"Alkermes","ALKS","8248.92","49.17","1760938",".37","-5.33","31.19","78.92","55.07","-5.25","5.67","55.22","26.52","150","Medical","Medical - Biomedical and Genetics","3.96","3"
"Allegiant","ALGT","1762.79","95.61","466009","-2.52","-13.88","27.65","66.46","-1.06","3.74","4.62","119.16","48.94","163","Transportation","Transportation - Airline",".9","3"
"Allegion","ALLE","14366.11","168.94","1399167","7.33","23.65","34.45","79.99","-6.37","7.82","17","179.77","125.65","103","Industrial Products","Security and Safety Services","15.36","2"
"Allegro MicroSystems","ALGM","8158.82","43.77","2321645","5.47","-20.23","1.55","44.79","46.41","22.77","13.38","69.62","22.8","31","Computer and Technology","Electronics - Semiconductors","1.5","4"
"Alliance Resource Partners","ARLP","3167.58","24.62","336702","-5.13","1.03","-2.03","32.25","-6.48","-10.37","14.77","28.99","22.54","32","Oils-Energy","Coal","12.25","1"
"Alliant Energy","LNT","17986.58","69.37","2573176","-1.99","-9.2","-2.16","39.9","-5.84","9.57","18.65","78.03","63.62","160","Utilities","Utility - Electric Power","18.45","2"
"Allied Gold Corporation","AAUC","2756.21","21.78","1073273","19.47","-6.68","-22.79","49.93","-16","82.35","13.81","32.01","11.58","234","Basic Materials","Mining - Gold","-4.19","3"
"Allison Transmission Holdings","ALSN","9816.88","118.88","878172","3.79","4.09","1.62","69.82","7.15","-6.67","16.46","136","79.27","172","Auto-Tires-Trucks","Automotive - Original Equipment","12.02","3"
"Allstate","ALL","68731.39","267","1668652","1.11","6.12","22.83","90.47","13.19","5.58","17.36","275.11","190","103","Finance","Insurance - Property and Casualty","18.97","3"
"Ally Financial","ALLY","13299.61","43.72","3271926",".9","-4.1","4.12","68.73","-14.82","-3.26","17.86","47.25","35.96","46","Finance","Financial - Consumer Loans","16.75","4"
"Almonty Industries Inc.","ALM","4085.39","14.18","6682575","28.21","-14.63","-18.74","52.47","42.03","10.56","-49.16","23.42","3.98","192","Basic Materials","Mining - Miscellaneous","-262.29","2"
"Alnylam Pharmaceuticals","ALNY","29330.96","219.2","2266517","6.66","-26.63","-23.62","4.8","-51.36","65.19","22.7","491.22","205.48","150","Medical","Medical - Biomedical and Genetics","15.26","3"
"Alpha and Omega Semiconductor","AOSL","1079.86","36.08","597279","13.67","-3.94","-7.18","51.91","60.72","5.92","-1.2","53.32","17.47","31","Computer and Technology","Electronics - Semiconductors","-15.51","3"
"Alphabet","GOOG","4322938","353.47","21404494","-.89","-.44","-10.13","77.45","-.6","15.09","63.76","399.04","196.92","170","Computer and Technology","Internet - Services","54.77","3"
"Alphabet","GOOGL","4333089","354.3","32538948","-.51","-.81","-10.71","76.6","-.11","15.09","63.76","402.62","196.09","170","Computer and Technology","Internet - Services","54.77","3"
"Alphatec","ATEC","1437.94","9.31","2470217","-2.21","-2.82","21.54","14.79","-60.95","24.95","3.1","22.68","6.99","150","Medical","Medical - Instruments","-13.5","3"
"Altria Group","MO","114126.99","68.35","8870478",".03","-4.79","-6.49","67.47","4.6","-3.08","45.6","74.92","54.72","221","Consumer Staples","Tobacco","33.99","3"
"Amazon.com","AMZN","2960627.5","274.48","50062020","1.07","11.88","3.91","88.81","4.93","12.38","10.29","284.02","198.79","163","Retail-Wholesale","Internet - Commerce","17.44","1"
"Ambarella","AMBA","3806.88","86.78","2089281",".91","12.26","6.92","81.37","8.1","37.15","7.13","95.51","48.65","31","Computer and Technology","Electronics - Semiconductors","-17.19","3"
"Ambiq Micro, Inc.","AMBQ","1442.65","67.49","504774","6.13","-20.86","-4.36","66.05","108.96","-4.67","-25.35","90.48","22.76","31","Computer and Technology","Electronics - Semiconductors","-46.86","3"
"Amcor","AMCR","22127.87","47.86","3702919","6.64","10.84","30.44","80.42","1.28","10.04","7.67","50.58","36.69","163","Industrial Products","Containers - Paper and Packaging","3.06","4"
"Amdocs","DOX","6320.44","58.55","1370369","5.08","12.79","-3.35","21.95","-35.83","-9.43","16.85","89.41","49.87","101","Computer and Technology","Computers - IT Services","9.75","3"
"Amentum Holdings, Inc.","AMTM","6051.71","24.77","1675695","11.58","17.9","7.79","26.83","-24.63","71.59","4","37.53","20.09","98","Construction","Engineering - R and D Services","1.04","3"
"Amer Sports, Inc.","AS","20403.66","36.84","4122438","3.75","5.86","12.18","58.78","-12.96","26.68","8.74","41.96","29.54","87","Consumer Discretionary","Leisure and Recreation Products","6.5","3"
"Amerant Bancorp","AMTB","1132.98","28.91","467809","-2.33","13.37","29.64","87.97","30.76","11.65","18.25","30.58","16.7","62","Finance","Banks - Southeast","8.76","1"
"Ameren","AEE","30131.62","108.84","1551077","-.7","-3.63","2.33","55.01","-3.82","15.43","16.88","118.32","97.25","160","Utilities","Utility - Electric Power","17.86","2"
"Ameresco","AMRC","1358.2","25.65","699557","21.74","2.85","-22.34","28.88","-22.72","9.16","1.63","43.23","18.51","157","Oils-Energy","Alternative Energy - Other","1.4","2"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","71368.75","23.75","2246637","-6.31","-8.69","-10.68","58.25","1.39","3.21","9.38","27.75","18.17","83","Computer and Technology","Wireless Non-US ","9.38","3"
"American Airlines","AAL","10551.8","15.94","100432680","4.39","-5.96","29.49","72.27","-8.25",".78","-.3","18.15","10.18","163","Transportation","Transportation - Airline","-.56","3"
"American Assets Trust","AAT","1401.86","22.83","407707","-3.22","-9.12","9.92","62.67","6.42","-4.73","4.09","25.85","17.76","78","Finance","REIT and Equity Trust - Retail","4.09","2"
"American Eagle Outfitters","AEO","3011.29","17.97","4223987","4.6","6.9","17.53","36.17","-39.87","3.16","6.08","28.19","12.18","92","Retail-Wholesale","Retail - Apparel and Shoes","5.01","2"
"American Electric Power","AEP","68447.09","125.73","4082967","-1.66","-7.16",".46","59.81","-3.78","10.93","14.19","138.69","106.44","160","Utilities","Utility - Electric Power","13.78","3"
"American Express","AXP","230219.88","340.91","2991493","1.39","-2.76","8.75","52.52","-18.69","9.52","15.07","384.89","292.27","152","Finance","Financial - Miscellaneous Services","15.07","3"
"American Financial Group","AFG","12096.5","145.59","394869","2.73","2.98","8.41","87.28","-6.01","-1.8","12.06","148.71","124.18","103","Finance","Insurance - Property and Casualty","11.51","4"
"American Healthcare REIT, Inc.","AHR","10935.06","56.74","2204437","2.05","5.92","14.98","94.58","6.39","9.15","4.85","57.72","39.65","80","Finance","REIT and Equity Trust - Other","4.84","2"
"American Homes 4 Rent","AMH","12487.43","34.63","2192950","3.62","4.09","13.13","85.9","-4.8","7.03","25.53","35.82","27.38","80","Finance","REIT and Equity Trust - Residential","25.53","3"
"American International Group","AIG","41769.64","78.78","3371409",".25","-.49","3.51","46.87","-18.74","-1.75","16.07","86.59","71.89","98","Finance","Insurance - Multi line","11.13","3"
"American Public Education","APEI","939.92","51.24","352077","5.63","-12.07","-3.9","70.7","19.62","3.89","6.13","60.86","28.03","73","Consumer Discretionary","Schools","6.13","2"
"American States Water","AWR","3463.76","87.39","301533","2.04","3.41","15.41","90.15","6.39","10.52","20.52","89.28","70.1","212","Utilities","Utility - Water Supply","20.52","3"
"American Superconductor","AMSC","1587.21","32.765","810675","11.56","-8.88","-40.49","16.73",".46","34.26","48.04","66.68","25.95","43","Computer and Technology","Electronics - Miscellaneous Components","42.56","3"
"American Tower","AMT","80396.74","172.54","3158037","-.47","2.34","1.12","20.96","-13.28","5.11","31.08","211.88","162.11","80","Finance","REIT and Equity Trust - Other","31.08","2"
"American Water Works","AWK","26890.02","135.31","2241697",".85","3.54","8.87","56.56","-8.51","9.74","21.46","146.2","121.13","212","Utilities","Utility - Water Supply","21.35","3"
"Americas Gold and Silver","USAS","1693.22","5.01","4426344","31.15","16.51","-19.84","36.03","-13.49","17.71","-2.41","10.03","2.18","192","Basic Materials","Mining - Miscellaneous","-36.1","4"
"Americold Realty Trust","COLD","4270.79","14.96","4220227","6.17","-3.55","4.91","78.96","2.65","-2.43","-17.44","16.25","10.12","80","Finance","REIT and Equity Trust - Other","-17.44","3"
"Ameriprise Financial","AMP","49621.39","551.98","570280","1.12","8.92","17.35","93.07","-.67","7.04","21.38","561.03","430.4","61","Finance","Financial - Investment Management","20.24","2"
"Ameris Bancorp","ABCB","5903.57","87.73","491458",".6","-2.96","6.26","79.96","4.23","-.36","34.33","93.17","66.02","62","Finance","Banks - Southeast","21.98","4"
"Amgen","AMGN","222170.03","410.945","2714554","6.69","13.09","25.94","100","10.79","9.95","31.9","410.95","271.18","150","Medical","Medical - Biomedical and Genetics","22.95","3"
"Amkor Technology","AMKR","13731.97","55.27","6227749","10.83","-21.57","-21.44","46.34","23.53","6.18","7.45","93.55","22.21","31","Computer and Technology","Electronics - Semiconductors","7.45","1"
"Amneal Pharmaceuticals","AMRX","5787.07","18.14","1882355","-.98","6.64","52.05","91.31","27.04","8.05","9.98","19.1","8.05","100","Medical","Medical - Drugs","5.05","1"
"Amphenol","APH","208596.13","169.18","7017134","5.28","6.36","35.34","89.46","10.47","51.71","19.17","176.32","108.55","6","Computer and Technology","Electronics - Connectors","17.73","1"
"Amplitude","AMPL","1140.21","11.26","2055816","26.8","22.66","85.81","80.83","-14.2","14.68","1.25","12.6","5.61","160","Business Services","Technology Services","-26.59","3"
"Amprius Technologies, Inc.","AMPX","1678.28","11.85","6333271","23.44","2.78","-29.67","31.6","32.53","202.11","-12.78","22.91","6.74","160","Business Services","Technology Services","-35.16","3"
"Amrize Ltd","AMRZ","25795.75","46.64","3182896","-4.64","-8.1","-4.84","0","-23.9",".95","10.92","65.86","46.64","168","Construction","Building Products - Miscellaneous","9.89","4"
"Amtech Systems","ASYS","271.9","15.53","364350","1.24","-16.77","-26.33","56.64","9.2","-21.59","6.92","23.99","4.48","47","Computer and Technology","Semiconductor - General","4.9","3"
"Analog Devices","ADI","189929.84","389.93","3976376","6.13","-1.45","-6.6","75.29","26.87","16.89","38.18","445.48","220.69","21","Computer and Technology","Semiconductor - Analog and Mixed","26.01","2"
"AnaptysBio","ANAB","1676.14","56.61","706980","6.09","-14.73","-10.36","73.22","3.04","157.01","-11.53","70.22","19.4","150","Medical","Medical - Biomedical and Genetics","-11.53","3"
"AngioDynamics","ANGO","648.51","15.69","603146","6.09","22.67","45.68","100","7.83","9.46","-3.13","15.69","8.4","150","Medical","Medical - Instruments","-11.48","4"
"AnheuserBusch InBev","BUD","169131.7","83.76","1754717","-3.15","5.21","3.51","90.47","15.41","-.75","13.05","86.48","57.93","210","Consumer Staples","Beverages - Alcohol","14.9","2"
