Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Teledyne Technologies","TDY","30389.39","655.57","436872",".03",".54","5.5","83.82","17.32","7.86","17.69","688.59","484.47","62","Aerospace","Aerospace - Defense Equipment","15.29","1"
"Teleflex","TFX","6052.18","136.71","428352","3.49","2.03","2.74","94.54","2.39","-34.61","16.87","138.81","100.34","153","Medical","Medical - Instruments","-35.89","2"
"Telefonica Brasil","VIV","21016.74","12.92","1317412","-8.04","-2.49","-17.18","28.84","-.43","3.04","10.64","17.14","11.21","236","Utilities","Diversified Communication Services","10.64","3"
"Telephone and Data Systems","TDS","3821.4","33.58","940623","-2.3","-7.21","-27.74","1.34","-25.14","-75.26","11.26","47.59","33.39","92","Utilities","Wireline - National","6.15","3"
"Tempus AI, Inc.","TEM","7877.51","43.87","5122578","2.76","-27.21","-12.01","3.76","-32.1","83.41","-4","103.25","41.55","81","Medical","Medical Info Systems","-17.77","3"
"Tenable Holdings","TENB","3599.28","32.64","3907070","1.21","-15.44","49.52","62.38","26.78","11.04","21.3","42.65","16.04","138","Computer and Technology","Internet - Software",".65","3"
"Tenaris","TS","30728.74","57.33","1029393","-.59","5.91","-4.15","77.94","36.28","-4.33","16.17","64.02","33.69","33","Industrial Products","Steel - Pipe and Tube","16.17","3"
"Tencent","TCEHY","558553.25","61.43","3892337","10.52","10.98","2.69","23.85","-26.65","13.87","34.65","87.33","53.32","188","Computer and Technology","Internet - Services","30.6","4"
"Tencent Music Entertainment Group","TME","14873.4","9.45","5859641","6.66","9.5","2.27","7.09","-50.73","20.92","29.25","26.36","8.16","188","Consumer Discretionary","Media Conglomerates","26.45","4"
"Tenet Healthcare","THC","21945.98","254.78","1461144","9.25","25.06","33.83","92.49","17.18","3.12","7.69","262.63","158.09","92","Medical","Medical - Hospital","10.27","2"
"Teradata","TDC","2916.16","30.99","2983524","8.66","-10.33","-1.9","61.23","-6.95","-4.97","16.01","37.88","20.11","20","Computer and Technology","Computer- Storage Devices","24.93","3"
"Teradyne","TER","57558.99","367.69","3911940","5.08","-.38","2.2","69.41","73.62","13.13","27.13","483.84","104.16","45","Computer and Technology","Electronics - Miscellaneous Products","25.77","1"
"Terex","TEX","7182.61","62.84","1417697","-10.01","-7.81","-1.2","64.21","7.6","5.73","6.35","74.58","41.78","173","Industrial Products","Manufacturing - Construction and Mining","2.23","3"
"Ternium","TX","9871.36","49.24","646513","4.1","17.94","4.94","90.26","17.84","-11.56","3.89","51.24","30.7","78","Basic Materials","Steel - Producers","3.66","3"
"Terreno Realty","TRNO","7616.91","71.65","870768","-1.42","6.42","8.22","84.46","11.54","24.51","86.44","75.08","53.01","66","Finance","REIT and Equity Trust - Other","86.44","2"
"Tesla","TSLA","1229138.63","311.21","41043028","-.58","-20.9","-27.35","6.73","-36.75","-2.93","5.92","489.88","298.32","92","Auto-Tires-Trucks","Automotive - Domestic","3.67","3"
"Tetra Tech","TTEK","8605.84","33.16","2979867","4.57","10.9","9.48","42.48","-9.64","4.69","9.4","42.61","26.18","77","Construction","Engineering - R and D Services","8.6","2"
"Tetra Technologies","TTI","1024.66","7.7","1639827","-7.34","-17.2","-21.27","45.39","-24.89","5.31","4.8","12.32","3.86","193","Oils-Energy","Oil and Gas - Field Services","1.15","3"
"Teva Pharmaceutical Industries","TEVA","40254.95","35.01","5649005","13.63","1.07","-2.02","93.65","2.53","4.32","15.49","36.34","15.38","229","Medical","Medical - Generic Drugs","4.08","4"
"Texas Capital Bancshares","TCBI","4297.44","98.85","522055","-.4","-4.91","-1.11","71","-.21","3.03","27.25","107.74","77.08","43","Finance","Banks - Southwest","17.9","4"
"Texas Instruments","TXN","251818.91","275.74","8060753","-1.37","-5.92","-4.19","68.4","45.27","13.05","31.11","332.28","153.33","9","Computer and Technology","Semiconductor - General","31.11","1"
"Texas Roadhouse","TXRH","13503.49","205.44","824410","6.3","5.74","15.82","93.02","13.11","9.39","6.85","209.16","155.88","181","Retail-Wholesale","Retail - Restaurants","6.85","3"
"Textron","TXT","14663.6","85.26","1764649","-10.75","-7.83","-6.32","34.69","-10.6","8.01","7.34","100.77","77.02","141","Aerospace","Aerospace - Defense","6.12","3"
"The Bancorp","TBBK","2792.42","67.07","447537",".13","4.98","17.67","54.02","-9.21","24.06","34.51","80.34","51.48","42","Finance","Banks - Northeast","32.91","3"
"The Blackstone Group","BX","94902.9","127.75","4834988","-1.73","4.05","3.22","29.61","-24.25","9.22","33.44","188.68","102.12","173","Finance","Financial - Miscellaneous Services","21.84","3"
"The Campbell's Company","CPB","6554.57","21.98","6018815",".64","-5.75","5.47","14.11","-27.92","6.4","7.22","34.03","20","211","Consumer Staples","Food - Miscellaneous","6.12","4"
"The Cheesecake Factory","CAKE","5039.09","101.42","1764286","19.71","28.09","64.51","100","83.63","4.75","5.22","101.42","43.14","181","Retail-Wholesale","Retail - Restaurants","4.61","1"
"The Chef's Warehouse","CHEF","4705.83","115.35","670062","21.6","20.63","41.17","100","69.14","9.36","2.35","115.35","54.6","211","Consumer Staples","Food - Miscellaneous","2.09","2"
"The Cooper Companies","COO","14104.61","72.32","2046585","2.86","-2.53","20.53","52.64","-19.35","5.06","21.34","84.32","58.98","74","Medical","Medical - Dental Supplies","5.57","3"
"The Descartes Systems Group","DSGX","6440.52","75.16","513660","10.24","3.25","3.96","27.44","-21.63","11.98","23.35","107.79","62.82","84","Computer and Technology","Computer - Software","23.35","3"
"The Ensign Group","ENSG","10383.6","178.16","499447","2.99","5.91","3.91","45.17","-6.52","18.72","7.82","215.83","147.13","33","Medical","Medical - Nursing Homes","6.9","2"
"The Estee Lauder Companies","EL","30354.59","83.9","2170189","4.5",".23","-2.67","31.83","-26.77","-8.21","5.49","119.61","67.23","166","Consumer Staples","Cosmetics","-1.67","2"
"The Gap","GAP","7231.98","20.09","6877509","5.68","4.36","-14.04","16.14","-28.27","1.86","4.99","29.13","18.35","57","Retail-Wholesale","Retail - Apparel and Shoes","6.25","3"
"The Geo Group","GEO","4127.47","30.89","1595153","-.1","2.12","41.96","97.51","75.14","8.58","5.09","31.34","13.26","46","Business Services","Government Services","10","2"
"The Goldman Sachs Group","GS","300429.66","1018.38","2009481","-4.04","-.26","8.75","69.79","5.89","-1.38","31.68","1152.07","709.57","20","Finance","Financial - Investment Bank","15.53","1"
"The Greenbrier Companies","GBX","1523.78","49.25","513999","-5.51","3.6","-2.57","45.28","-3.69","-8.59","4.2","58.87","41.29","162","Transportation","Transportation - Equipment and Leasing","4.07","4"
"The Hackett Group","HCKT","270.02","10.72","403369","10.4","-1.11","-.19","10.59","-50.09","-2.62","13.8","23.39","9.22","71","Business Services","Consulting Services","4.75","3"
"The Hanover Insurance Group","THG","8100.23","232.63","351346","6.66","4.97","22.99","100","16.33","5.72","11.39","232.63","165.24","149","Finance","Insurance - Property and Casualty","11.17","2"
"The Hartford Insurance Group, Inc.","HIG","38439.45","141.91","1678943",".98","2.95","7.49","83.83","-5.88","6.91","19.57","145.68","122.36","149","Finance","Insurance - Property and Casualty","15","4"
