Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Jackson Financial","JXN","9285.61","137.1","515964","2.62","1.89","28.56","100","14.78","104.31","23.93","137.1","90.62","180","Finance","Insurance - Life Insurance","1.59",""
"James Hardie Industries","JHX","16516.38","28.46","6336783","-5.61",".35","29.31","81.79","22.47","24.71","12.53","31.08","16.69","163","Construction","Building Products - Miscellaneous","2.69","2"
"Jazz Pharmaceuticals","JAZZ","15941.07","245.57","1086526","-1.49","-6.12","6.94","88.23","28.98","4.88","37.76","261.62","125.22","164","Medical","Medical - Biomedical and Genetics","20.45","3"
"Jefferies Financial Group","JEF","10248.99","52.9","1690492","-.43","-5.86","-8.64","49.16","-23.78","53.86","11.73","70.36","36.02","156","Finance","Financial - Miscellaneous Services","7.58","3"
"Jefferson Capital, Inc.","JCAP","1214.55","21.15","415656","-.33","3.52","31.94","66.39","-15.47","41.53","24.91","24","15.52","156","Finance","Financial - Miscellaneous Services","23.5","4"
"JinkoSolar","JKS","652.53","12.46","698975","-8.78","-21.04","-28.64",".06","-56.9","-25.9","-4.61","30.58","12.45","218","Oils-Energy","Solar","-5.85","4"
"Joby Aviation, Inc.","JOBY","6745.83","6.82","27517546","-4.48","-12.56","-23.03","1.32","-53.87","39183.09","-716.81","19.57","6.65","88","Aerospace","Aerospace - Defense","-755.11","3"
"John Wiley & Sons","WLY","2591.32","51.05","447626","-3.88","-6.26","15","82.66","48.82","-.06","13.29","55.72","28.79","241","Consumer Staples","Publishing - Books","13.22","3"
"Johnson & Johnson","JNJ","663228.13","275.21","6444630","1.93","6.84","15.4","100","18.74","6.05","27.07","275.21","174.16","98","Medical","Large Cap Pharmaceuticals","21.48","3"
"Johnson Controls International","JCI","84349.5","139.25","2861223","-3.52","-9.37","-.08","68.62","3.83","2.81","11.77","154.76","105.34","98","Construction","Building Products - Wood","14.32","2"
"Joint Stock Company Kaspi.kz Sponsored ADR","KSPI","20296.81","106.81","652619","-.81","15.86","35.93","95.14","22.07","59.58","24","108.75","68.84","158","Business Services","Financial Transaction Services","24","3"
"Jones Lang LaSalle","JLL","16099.48","349.93","304283","-9.36","-6.25","17.34","61.95","-7.14","11.45","3.82","392.79","280.16","179","Finance","Real Estate - Operations","3.64","2"
"Jumia Technologies","JMIA","888.02","7.17","2134720","4.98","22.15","3.76","16.61","-48.74","12.8","-27.54","14.6","5.69","98","Retail-Wholesale","Internet - Commerce","-27.54",""
"KB Home","KBH","3193.01","52.08","801234","-7.13","-11.67","-.15","30.7","-17.56","-10.01","5.38","67.97","45.04","98","Construction","Building Products - Home Builders","4.94","3"
"KBR","KBR","4655.68","36.93","1152432","-2.64","1.65","7.92","33.68","-17.97",".57","6.55","50.46","30.06","98","Construction","Engineering - R and D Services","5.49","3"
"KE Hodlings","BEKE","20072.44","17.94","4183671",".39","6.22","12.13","60.33","1.64","5.63","7.51","20.36","14.26","187","Computer and Technology","Internet - Services","5.38","1"
"KINETIK HLDGS","KNTK","8787.96","54.12","1096858","-1.78","11.93","13.65","95.82","34.05","18.98","26.83","55.1","31.68","159","Oils-Energy","Oil and Gas - Field Services","26.19","3"
"KKR & Co.","KKR","95535.35","106.43","4595557","-1.91",".74","12.01","34.45","-25.45","-11.04","82.52","149.34","83.88","86","Finance","Financial - Investment Management","14.41","3"
"KKR Real Estate Finance Trust","KREF","444.61","7.59","686640",".53","5.12","6.15","42.86","-17.55","-22.85","-11.33","9.87","5.88","234","Finance","REIT and Equity Trust","-47.33","2"
"KLA","KLAC","225065.73","172.26","9163746","-6.29","-10.65","-19.34","40.43","26.58","11.71","36.52","301.71","84.39","64","Computer and Technology","Electronics - Miscellaneous Products","35.57","2"
"KT","KT","9475.09","19.65","1426761","-.05","8.09","6.62","32.83","-7.51","2.63","5.51","24.54","17.26","193","Computer and Technology","Wireless Non-US ","5.51","3"
"Kanzhun","BZ","7096.06","17.3","7089987","-8.17","6.86","30.67","37.93","-24.2","17.32","44.18","24.91","12.65","74","Computer and Technology","Internet - Software","53.16","3"
"Karman Holdings Inc.","KRMN","5357.01","40.42","2526224","-16.45","-26.67","-11.88","0","-50.68","36.57","10.4","115.29","40.42","34","Aerospace","Aerospace - Defense Equipment","6.31","3"
"Kayne Anderson BDC, Inc.","KBDC","892.17","13.51","420862",".22","-1.31","-7.02","14.4","-15.76","10.66","49.34","15.71","13.14","98","Finance","Financial - SBIC & Commercial Industry","31.54","5"
"Kearny Financial","KRNY","651.89","10.04","734147","2.03","3.72","16.2","100","20.98","1.05","20.93","10.04","6.26","70","Finance","Financial - Savings and Loan","10.45","3"
"Kelly Services","KELYA","572.38","16.48","350577","-2.94","8.28","40.61","91.3","67.22","-1.87",".67","17.28","8.08","98","Business Services","Staffing Firms","-6.73","3"
"Kemper","KMPR","1661.04","28.19","935466","-.77","-3.69","14.04","16.81","-37.91","3.26","1.6","54.37","22.9","79","Finance","Insurance - Multi line","-10.84","3"
"Kennametal","KMT","2244.65","29.45","1619101","-1.87","-13.79","-11.56","39.44","-7.44","19.82","15","43.27","20.45","81","Industrial Products","Manufacturing - Tools & Related Products","14.53","3"
"Kenvue Inc.","KVUE","36744.4","19.13","19722518","-.47","-2.75","5.98","75.26","-.98","-2.14","14.66","20.78","14.11","177","Consumer Staples","Consumer Products - Staples","10.76","3"
"Keurig Dr Pepper","KDP","44349.32","32.59","10771784","1.2","5.98","2.81","88.9","3.89","8.16","14.68","33.5","25.3","98","Consumer Staples","Beverages - Soft drinks","7.1","3"
"KeyCorp","KEY","23263.4","21.8","9054818","-1.31","-5.59","-.82","69.63","-5.69","21.57","25.35","23.99","16.78","84","Finance","Banks - Major Regional","17.83","3"
"Keysight Technologies","KEYS","54956.53","321.58","1436696","-.09","-4.3","-.75","75.8","41.31","7.95","26.36","373.34","159.49","29","Computer and Technology","Electronics - Measuring Instruments","19.08","1"
"Kilroy Realty","KRC","4241.79","36.47","1054796","-.98","-5.64","-5.08","52.33","-12.86","-2.02","15.47","44.44","27.72","90","Finance","REIT and Equity Trust - Other","15.47","3"
"Kimbell Royalty","KRP","1713.67","14.94","1072564","-1.06","3.46","-3.86","84.24","13.44","7.93","27.17","15.61","11.36","98","Oils-Energy","Oil and Gas - Royalty Trust - United States","27.17","3"
"KimberlyClark","KMB","36347.56","109.29","2925765","-.95","-2.74","7.59","42.83","-3.28","-18","14.94","130.97","93.05","177","Consumer Staples","Consumer Products - Staples","11.79","3"
"Kimco Realty","KIM","16152.61","24.08","4133867",".21","-3.18","-5.12","65.15","6.07","5.06","27.76","26.38","19.78","98","Finance","REIT and Equity Trust - Retail","27.76","3"
"Kinder Morgan","KMI","71190.87","31.97","10421789","-.16","2.73",".41","72.37","3.84","12.17","18.92","34.31","25.84","188","Oils-Energy","Oil and Gas - Production and Pipelines","19.31","3"
"Kingsoft Cloud","KC","3096.72","10.25","1430226",".2","-18.07","-7.41","17.34","-11.49","28.16","-3.27","18.21","8.58","74","Computer and Technology","Internet - Software","-5.49","2"
"Kiniksa Pharmaceuticals International, plc","KNSA","6233.34","79.89","419309","1.54","2.32","62.15","97.83","72.93","60.09","9.59","80.92","33.49","164","Medical","Medical - Biomedical and Genetics","9.59","3"
"Kinross Gold","KGC","35844.24","30.26","8762653","-6.37","17.74","27.9","54.51","-4.05","36.95","35.9","38.07","20.9","234","Basic Materials","Mining - Gold","37.52","5"
"Kirby","KEX","7477.54","141.62","419949","1.87","8.02","1.48","84.9","14.77","3.01","10.18","152.59","79.95","32","Transportation","Transportation - Shipping","10.18","2"
"Kite Realty Group Trust","KRG","5261.11","26.26","2188667","0","-4.02","-8.95","58","-2.18",".3","41.8","29.83","21.33","98","Finance","REIT and Equity Trust - Retail","41.8","3"
"Klarna Group plc","KLAR","5492.74","14.55","8042090","2.39","-28.57","-7.79","6.8","-55.06","24.83","-3.54","45.82","12.27","158","Business Services","Financial Transaction Services","-3.54","3"
"Klaviyo, Inc.","KVYO","5498.09","19.31","6735336","8.54",".05","33.08","27.97","-46.9","31.63","17.14","35.92","12.86","74","Computer and Technology","Internet - Software",".49","3"
"Knife River Corporation","KNF","3476.19","61.24","797427","-8.32","-9.66","-15.54","3.85","-22.27","8.52","4.23","93.97","59.93","163","Construction","Building Products - Miscellaneous","4.23","5"
"KnightSwift Transportation","KNX","10973.01","67.42","2712869","-3.06","-4.79","-14.93","65.46","15.15",".8","2.75","82.45","38.94","23","Transportation","Transportation - Truck",".56","3"
"Knowles","KN","2944.09","34.47","769465","-.2","-12.8","-7.61","62.36","43.62","7.17","17.75","42.8","20.67","31","Computer and Technology","Communication - Components","10.63","2"
"Kodak","KODK","899.76","9.19","920788","-3.57","-6.8","-5.36","39.27","-3.01","2.49","-8.28","14.51","5.75","64","Computer and Technology","Electronics - Miscellaneous Products","-8.28",""
"Kodiak Gas Services, Inc.","KGS","6210.82","61.43","1669330","1.59","6.19","-7.61","65.74","46.66","12.83","12.42","76.27","32.95","88","Oils-Energy","Oil and Gas - Mechanical and and Equipment","5.77","3"
"Kohl's","KSS","2178.41","19.21","4661965","7.08","-2.29","21.05","57.66","-15.96","-4.28","1.77","24.71","11.72","21","Retail-Wholesale","Retail - Regional Department Stores","1.75","1"
"Koninklijke Philips","PHG","25918.67","26.37","726950","-2.3","-.83","2.73","17.11","-13.05","3.44","8.99","32.91","25.02","93","Medical","Medical - Products","6.3","3"
"Kontoor Brands","KTB","3961.84","72.49","776433","-6.08","-13.34","-4.54","48.91","5.95","20.9","10.67","88.17","57.48","79","Consumer Discretionary","Textile - Apparel","8.21","2"
"Korea Electric Power","KEP","14893.57","11.6","966234","-5.23","-6.15","-2.52","3.48","-37.23",".15","8.95","23.26","11.18","159","Utilities","Utility - Electric Power","8.95","5"
"KornFerry International","KFY","4292.86","83.59","324115","-.48",".13","14.04","89.94","13.05","6.43","9.66","86.28","59.54","98","Business Services","Staffing Firms","9.44","3"
"Kraft Heinz Company","KHC","31139.73","26.26","14940096","5.93","2.06","9.19","74.7","-3.31","-3.5","11.51","27.97","21.21","198","Consumer Staples","Food - Miscellaneous","-13.64","3"
"Kratos Defense & Security Solutions","KTOS","8969.33","47.78","3385541","-9.73","-13.66","-12.84","4.49","-43.8","18.53","8.07","130.72","43.88","34","Aerospace","Aerospace - Defense Equipment","2.03","3"
"Kronos Worldwide","KRO","1005.95","8.74","484503","-.57","40.74","34.46","96.29","76.56","-1.47","-4.82","8.91","4.33","98","Basic Materials","Chemical - Diversified ","-5.63","2"
"Kulicke and Soffa Industries","KLIC","4131.38","78.95","793911","-6.99","-15.87","-22.62","44.32","54.73","-7.38","15.19","133.81","35.29","23","Computer and Technology","Electronics - Manufacturing Machinery","12.18","1"
"Kura Oncology","KURA","1166.27","13.11","2321880",".38","42.5","51.04","92.25","12.66","25.24","-384.3","13.59","7.4","164","Medical","Medical - Biomedical and Genetics","-384.3","3"
"Kyivstar Group Ltd.","KYIV","3137.44","13.59","319605","-.15","2.8","2.18","62.28","-6.51","25.9","25.39","16.17","9.33","193","Utilities","Wireline Non-US","12.73","3"
"Kymera Therapeutics","KYMR","9864.16","118.63","706128","-5.51","12.47","51.64","89.98","36.13","-16.7","-281.66","127.31","40.69","164","Medical","Medical - Biomedical and Genetics","-285.33","3"
"Kyndryl Holdings, Inc.","KD","2851.24","13.09","3729840","3.23","-5.83","16.36","11.09","-55.99",".23","1.5","33.14","10.59","159","Business Services","Technology Services",".58","3"
"L3Harris Technologies","LHX","48659.75","261.31","1559630","-.63","-8.67","-13.76","0","-20.52","2.53","9.41","378.48","261.31","88","Aerospace","Aerospace - Defense","8.17","3"
"LATAM Airlines Group","LTM","14708.54","51.23","821062","-2.42","-11.21","8.03","35.9","-15.31","12.95","9.95","68.46","41.58","204","Transportation","Transportation - Airline","9.69","4"
"LIBERTY ENERGY","LBRT","3281.78","20.11","3372281","8.64","3.66","-28.76","42.2","-2.73","-7.16",".55","33.93","10.02","159","Oils-Energy","Oil and Gas - Field Services","2.92","3"
"LKQ","LKQ","6256.74","24.73","3243349","-3.96","2.57","-2.91","18.46","-26.88","-4.9","5.17","34.8","22.45","217","Auto-Tires-Trucks","Automotive - Replacement Parts","3.37","5"
"LPL Financial","LPLA","27961.39","355.1","582677","-1.43","-1.34","22.8","70.05","-11.23","37.18","9.05","393.25","265.86","32","Finance","Financial - Investment Bank","5.13","2"
"LSI Industries","LYTS","730.94","19.91","456558","-1.78","-20.36","-19.16","27.85","-2.96","20.23","3.28","26.8","17.25","98","Construction","Building Products - Lighting","3.28","3"
"LTC Properties","LTC","2240.85","41.57","499689","2.57","7.36","11.33","85.96","7.96","25.26","126.42","42.81","33.98","90","Finance","REIT and Equity Trust - Other","38.84","3"
"LXP Industrial Trust","LXP","3580.48","60.73","627110","-.43",".15","15.13","97.54","9.37","-2.3","18.66","61.15","44.05","98","Finance","REIT and Equity Trust - Residential","18.66","3"
"LaZBoy","LZB","1278.89","31.93","767117","-1.27","-22.97","-14.53","20.23","-23.5",".83","5.86","42.14","29.34","98","Consumer Discretionary","Furniture","3.86","5"
"Labcorp Holdings Inc.","LH","26897.63","331.66","577774","-1.21","5.64","23.46","91.71","18.04","7.25","10.11","339.34","246.64","86","Medical","Medical Services","6.99","3"
"Ladder Capital Corp","LADR","1244.55","9.81","992344","-.51","3.48","-4.85","14.16","-20.3","-23","50.44","11.81","9.48","234","Finance","REIT and Equity Trust","12.62","4"
"Lam Research","LRCX","360780.84","288.32","7399296","-7.85","-6.21","-10.4","56.88","50.39","26.02","31.57","433.33","97.03","46","Computer and Technology","Electronics - Semiconductors","31.27","2"
"Lamar Advertising","LAMR","15384.79","151.5","569756","-.32","-4.22",".5","73.39","6.87","2.68","23.9","164.33","116.11","90","Finance","REIT and Equity Trust - Other","23.9","3"
"Lamb Weston","LW","7205.49","52.41","1249417","-5.16","-1.67","18.76","49.59","11.71","2.5","6.35","66.57","38.48","198","Consumer Staples","Food - Miscellaneous","4.39","3"
"LandBridge Company LLC","LB","6590.8","85.5","366691","-3.49","13.05","29.82","90.75","55.83","81.07","16.49","89.71","44.2","204","Oils-Energy","Oil and Gas - Integrated - United States","16.49","3"
"Landstar System","LSTR","5928.78","174.7","395570","-3.82","-2.59","-20.2","51.6","8.55","-1.57","3.47","225.37","120.68","23","Transportation","Transportation - Truck","2.64","2"
"Lantheus","LNTH","6580.11","100.81","1568585","-.01","-.68",".57","83.35","35.26",".5","25.52","110.94","50.11","93","Medical","Medical - Products","17.69",""
"Lantronix","LTRX","245.67","5.26","1093454","-7.07","-10.7","-18.45","20.25","-19.85","-1.65","5.3","8.45","4.45","77","Computer and Technology","Computer - Networking","-3.46","4"
"Las Vegas Sands","LVS","28848.61","44.54","4489872","-3.66","-2.86","-12.34","2.84","-38.9","15.22","15.39","69.49","43.81","191","Consumer Discretionary","Gaming","12.59","5"
"Latham Group","SWIM","808.23","6.87","878005","-3.51","-5.89","28.89","60.63","-3.4","7.35","2.14","8.24","4.76","163","Construction","Building Products - Miscellaneous",".92","3"
"Lattice Semiconductor","LSCC","15602.45","113.88","1434639","-4.58","-11.25","-13.97","55.75","38.19","2.72","32.75","155.27","61.73","46","Computer and Technology","Electronics - Semiconductors","5.58","3"
"Laureate Education","LAUR","4984.46","36.185","915876","-6.43","-4.9","-.84","67.07","-4.04","8.64","14.46","40.46","27.48","198","Consumer Discretionary","Schools","17.57","3"
"Lazard, Inc.","LAZ","4748.04","42.95","1327430",".37","-1.83","3.84","21.2","-21.03","1.54","6.83","57.22","39.11","156","Finance","Financial - Miscellaneous Services","6.95","5"
"LeMaitre Vascular","LMAT","1868.88","81.72","360010","2.65","3.44","-11.5","7.16","-10.03","13.53","23.81","117.39","78.97","93","Medical","Medical - Products","25.02","4"
"Lear","LEA","6392.49","129.6","566291","4.16","3.46","-7.72","63.24",".98","-.2","3.15","148.68","96.78","185","Auto-Tires-Trucks","Automotive - Original Equipment","2.35","3"
"LegalZoom.com","LZ","1116.65","6.52","3415580","10.51","-19.51","11.07","19.22","-41.37","10.88","14.08","11.1","5.43","185","Industrial Products","Industrial Services","2.13","3"
