Company Name,Ticker,Zacks Rank,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %
"ADEIA INC","ADEA","3","2922.42","27.2","793276","5.03","-4.88","-18.06","67.43","36.25","17.91","44.9","33.63","11.74","156","Business Services","Technology Services","26.05"
"Analog Devices","ADI","2","175533.84","363.2","3459940",".03","-5.65","-15.28","62.22","18.46","16.89","39.81","445.48","225.2","24","Computer and Technology","Semiconductor - Analog and Mixed","29.79"
"Archer Daniels Midland","ADM","1","40778.6","84.5","3272053","4.08","5.12","6.74","91.35","30.53","-6.15","2.57","87.32","56","165","Consumer Staples","Agriculture - Operations","2.16"
"ADMA Biologics","ADMA","3","2154.73","9.54","1724057","2.45","-1.33","13.18","15.81","-53.23","19.63","33.47","20.38","7.6","162","Medical","Medical - Biomedical and Genetics","32.98"
"Adient","ADNT","3","1542.71","18.78","837005","5.48","6.95","-12.39","23.79","-7.43","-1.04",".98","27.09","17.8","177","Auto-Tires-Trucks","Automotive - Original Equipment",".32"
"Automatic Data Processing","ADP","3","110288.09","267.96","1955200","-2.98","1.44","24.37","79.03","-4.28","6.74","20.44","301.19","188.79","85","Computer and Technology","Internet - Software","20.11"
"Adaptive Biotechnologies","ADPT","3","3874.99","24.34","1761249","-2.57","-4.6","39.06","84.6","32.6","54.77","-24.02","26.44","12.41","162","Medical","Medical - Biomedical and Genetics","-20.73"
"Autodesk","ADSK","3","45541.1","212.21","1944132","-15.72","-14.91","9.72","21.7","-34.71","17.53","32.25","326.79","187.72","85","Computer and Technology","Internet - Software","21.08"
"ADT","ADT","2","5449.97","7.22","6134478",".95","-.67","11.34","45.49","-18.02","4.72","14.42","8.85","6.3","74","Industrial Products","Security and Safety Services","11.85"
"ADTRAN Holdings, Inc.","ADTN","4","578.52","7.58","1610699","-8.39","-6.95","-53.07","NA","-27.54","17.46","2.48","19.4","7.1","32","Computer and Technology","Communication - Components","-2.29"
"Aebi Schmidt Holding AG","AEBI","3","1004.96","12.45","496853","2.37","1.57","6.15","58.24","-9.21","40.58","1.09","15.61","9.24","58","Auto-Tires-Trucks","Automotive - Domestic","1.09"
"Ameren","AEE","3","29475.5","106.73","1266806",".43","-.5","-2.83","43.76","-5.44","15.43","16.88","118.32","97.25","168","Utilities","Utility - Electric Power","17.86"
"Aehr Test Systems","AEHR","2","2813.84","90.79","2554147","8.82","-18.78","-25.56","52.97","278.91","-15.21","1.82","145.61","19.4","30","Computer and Technology","Electronics - Measuring Instruments","-14.25"
"Advanced Energy Industries","AEIS","1","11250.17","288.72","469617","1.46","-10.68","-24.22","54.73","18.99","21.37","16.54","389.05","150.14","10","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10.77"
"Agnico Eagle Mines","AEM","3","103778.24","201.84","3284071",".8","13.44","19.17","59.03","7.1","43.71","39.12","252.19","136.34","216","Basic Materials","Mining - Gold","40.44"
"American Eagle Outfitters","AEO","2","2914.1","17.22","4580966","4.57","-5.08","-5.8","22.19","-41.51","3.16","6.08","28.19","14.31","73","Retail-Wholesale","Retail - Apparel and Shoes","5.01"
"American Electric Power","AEP","3","67777.48","125.42","2919088","1.69","1.35","-3.72","56","-4.24","10.93","14.19","138.69","106.44","168","Utilities","Utility - Electric Power","13.78"
"Aercap","AER","1","24263.85","143.54","963378","-.37","-2.79","2.76","72.22","-10.3","6.5","35.97","155.24","119.82","103","Transportation","Transportation - Equipment and Leasing","37.85"
"Grupo Aeromexico SAB DE CV - Sponsored ADR","AERO","4","2154.13","15.58","325348","8.82",".19","-10.23","32.51","-36.23","-4.61","2.85","22.91","12.36","95","Aerospace","Aerospace - Defense","3.78"
"AES","AES","3","10551.76","14.83","6608583",".34",".41",".75","47.8","-8.53","-.37","14.52","17.28","12.51","168","Utilities","Utility - Electric Power","14.3"
"Atlas Energy Solutions Inc.","AESI","4","1682.55","13.99","2797892","2.75","14.26","-18.96","46.01","26.73","3.73","-10.56","19.75","8.1","186","Oils-Energy","Oil and Gas - Integrated - United States","-11.08"
"Aeva Technologies","AEVA","3","989.11","16.25","1443750",".19","-33.77","-41.61","32.34","4.78","99.44","-477.41","29.29","9.19","177","Auto-Tires-Trucks","Automotive - Original Equipment","-150.12"
"Aflac","AFL","3","58762.45","115.16","1967398","1.17","-3.88",".21","48.26","-5.73","-9.31","21.74","129.55","105.7","223","Finance","Insurance - Accident and Health","26.91"
"Affirm","AFRM","3","24412.43","72.08","5245785","-2.82","-4.22",".63","60.06","-13.79","31.34","45.29","92.18","42.53","85","Computer and Technology","Internet - Software","45.29"
"First Majestic Silver","AG","3","10336.32","20.75","9345446","1.85","11.25","10.95","51.87","11.63","124.25","26.2","32.01","9.07","234","Basic Materials","Mining - Silver","21.18"
"AGCO","AGCO","5","9342.23","127.31","1129125","12.76","32.25","18.54","83.14","13.41","-13.55","4.18","140.49","98.45","188","Industrial Products","Manufacturing - Farm Equipment","5.15"
"Agenus","AGEN","4","370.97","7.43","981814","8.28","17.71","153.54","97.85","132.74","10.37","89.19","8.36","2.77","162","Medical","Medical - Biomedical and Genetics","69.33"
"Alamos Gold","AGI","3","15475.44","36.45","3708223",".98","11.39","-1.78","33.24","-15.01","34.29","38.71","55.33","27.83","216","Basic Materials","Mining - Gold","52.64"
"Agios Pharmaceuticals","AGIO","3","1976.13","33.55","843181","-1.72","1.56","4.02","46.48","7.85","48.03","-418.24","45.49","22.34","162","Medical","Medical - Biomedical and Genetics","-418.24"
"AGNC Investment","AGNC","3","12625.38","10.68","13879554","-.75","-1.02","1.82","38.71","-11.89","19.46","186.81","12.17","9.69","235","Finance","REIT and Equity Trust","57.94"
"Assured Guaranty","AGO","3","3328.79","73","344367","1.33","-.33","-.33","13.12","-25.31","27.29","49.57","92.18","73.2","84","Finance","Insurance - Multi line","37.34"
"Adecoagro","AGRO","4","1678.13","12.24","928206","3.43","21.84","7.98","57.14","31.64","-6","-.4","15.25","7.13","165","Consumer Staples","Agriculture - Operations","3.03"
"Argan","AGX","2","5864.33","436.78","336188","-1.65","-28.09","-39.32","36.01","18.32","8.06","15.09","798.55","203.84","103","Construction","Building Products - Miscellaneous","15.09"
"AdaptHealth","AHCO","NA","884.87","6.19","2702322","16.1","24.33","-34.84","15.56","-42.21","-.49","2.16","13.38","5.22","95","Medical","Medical - Products","-7.07"
"American Healthcare REIT, Inc.","AHR","2","11928.89","54.6","3021186","-.89","-1.35","17.75","82.9","3.12","9.15","4.85","57.72","40.18","101","Finance","REIT and Equity Trust - Other","4.84"
"AH Realty Trust Inc","AHRT","4","493.06","6.5","511545","2.01","-1.93","-2.65","60.58","-11.45","-59.74","-1.97","7.56","5.15","101","Finance","REIT and Equity Trust - Other","-18.23"
"C3.ai","AI","3","1626","10.51","5136496","-3.33",".58","-5.17","22.69","-31.18","-35.67","-73.42","19.66","7.76","154","Computer and Technology","Computers - IT Services","-192.1"
"American International Group","AIG","3","39849.69","74.68","2959106","-.2","-1.8","1.78","29.39","-20.99","-1.75","16.07","86.59","71.89","84","Finance","Insurance - Multi line","11.13"
"Arteris","AIP","4","1050.38","22.72","649108","-2.33","-21.23","-51.02","31.95","22.28","22.27","-13.32","48.59","8.59","85","Computer and Technology","Internet - Software","-46.7"
"AAR","AIR","2","5047.99","130.73","348960","-2.13","-11.32","-3.54","65.95","35.56","18.97","5.89","153.71","73.92","44","Aerospace","Aerospace - Defense Equipment","5.67"
"AIRO Group Holdings, Inc.","AIRO","3","233.51","7.33","580676","-2.89","-12.32","-9.31","10.27","-19.77","4.57","-23.86","20.94","5.85","95","Aerospace","Aerospace - Defense","-23.86"
"Arthur J. Gallagher & Co.","AJG","3","67327.45","251.45","1297118",".21","4.06","21.76","59.66","-9.98","22.29","20.04","310.48","192","193","Finance","Insurance - Brokerage","9.96"
"Akamai Technologies","AKAM","3","15121.86","105.61","2657224","-3.13","-10.57","-21.6","37.29","6.95","5.44","23.46","161.14","71.97","196","Computer and Technology","Internet - Services","9.51"
"Acadia Realty Trust","AKR","3","2786.48","20.37","1379298","-.88",".15","-6.58","38.48","-12.39","14.2","12.14","22.72","18.77","168","Finance","REIT and Equity Trust - Retail","12.14"
"Astera Labs, Inc.","ALAB","1","53849.78","288.85","3223592","4.52","-2.15","-20.25","54.9","65.48","115.13","37.35","483.02","100.27","85","Computer and Technology","Internet - Software","30.74"
"Albemarle","ALB","3","14901.68","129.57","1908008","-6.44","-3.76","-25.23","37.54","-20.82","-4.37","14.73","215.62","72.58","94","Basic Materials","Chemical - Diversified ","3.09"
"Alcon","ALC","3","34870.45","69.12","1378416","-2.16","-4.25","6.35","33.7","-20.66","4.94","14.88","87.18","62.02","100","Medical","Medical - Instruments","5.92"
"Allegro MicroSystems","ALGM","4","6824.18","36.47","1885693",".99","-13.78","-33.44","29.5","23.08","22.77","13.38","69.62","22.8","45","Computer and Technology","Electronics - Semiconductors","1.5"
"Align Technology","ALGN","3","11361.14","153.49","771637","-.72","-9.89","-11.01","46.47","-9.9",".9","19.3","197.51","124.88","92","Medical","Medical - Dental Supplies","9.99"
"Allegiant","ALGT","3","2136.72","76.06","514440","2.77","-12.71","-17.93","32.93","-18.71","3.74","4.62","119.16","58.03","199","Transportation","Transportation - Airline",".9"
"Alliance Laundry Holdings Inc.","ALH","2","4518.48","22.23","2018747","-.79","-13.87","-11.9","41.01","-.94","13.31","13.7","28.01","19.06","168","Retail-Wholesale","Retail - Home Furnishings","10.08"
"Alignment Healthcare","ALHC","3","2808.67","13.46","3986547","1.04","-1.74","-31.55","6.45","-39.2","46.06",".89","24.56","12.78","89","Medical","Medical Services",".89"
"Alight","ALIT","3","401.93","13.45","409041","4.26","1.91","12.71","7.68","-66.07","-3","9.82","76.4","9.8","85","Computer and Technology","Internet - Software","-90.9"
"Alaska Air Group","ALK","3","4684.47","40.74","2147340","1.72","-11.05","-14.34","26.46","-25.88","21.34","-.82","63.86","34.19","199","Transportation","Transportation - Airline","-1.19"
"Alkermes","ALKS","3","7733.89","45.49","1219425","-1.89","-6.68","3.92","68.22","46.12","-5.25","5.67","55.22","26.52","162","Medical","Medical - Biomedical and Genetics","3.96"
"Alkami Technology","ALKT","4","2105.69","19.38","1028481","-3.48",".36","28.61","42.71","-24.31","32.89","8.23","26.53","14.59","85","Computer and Technology","Internet - Software","-9.21"
"Allstate","ALL","1","65634.34","253.46","1488926",".69","-3.75","17.02","81.74","10.6","5.58","17.36","275.11","190","69","Finance","Insurance - Property and Casualty","18.97"
"Allegion","ALLE","3","13360.98","156.05","1324319","1.2","-5.08","17.52","58.15","-12.48","7.82","17","179.77","125.65","74","Industrial Products","Security and Safety Services","15.36"
"Ally Financial","ALLY","3","13302.65","42.28","2639251","3.6","-.14","-3.76","68.82","-14.37","-3.26","17.86","47.25","35.96","87","Finance","Financial - Consumer Loans","16.75"
"Almonty Industries Inc.","ALM","3","5062.08","19.12","6245912","-1.29","28.25","-2.17","69.66","76.87","10.56","38.43","23.42","4.14","183","Basic Materials","Mining - Miscellaneous","125.89"
"Aeluma, Inc.","ALMU","NA","236.87","13.31","418996","-1.22","-24.99","-48.1","10.65","-33.16","407.62","-39.4","31.49","10.73","45","Computer and Technology","Electronics - Semiconductors","-115.57"
"Alnylam Pharmaceuticals","ALNY","3","35607.94","260.1","1631879","10.56","22.64","-7.54","21.22","-40.65","65.19","22.7","491.22","205.48","162","Medical","Medical - Biomedical and Genetics","15.26"
"Alarm.com","ALRM","1","2793.53","56.01","334275","-1.88",".05","24.21","92.76","-1.82","7.59","14.8","57.6","42.13","74","Industrial Products","Security and Safety Services","11.11"
"Allison Transmission Holdings","ALSN","3","10837.54","130.56","685804","4.4","5.4","9.85","91.61","18.89","-6.67","16.46","136","79.27","177","Auto-Tires-Trucks","Automotive - Original Equipment","12.02"
"Autoliv","ALV","4","9169.3","120.25","493439","3.29","2.84","-.47","79.3","-6.46","4.09","6.81","131.69","100.34","177","Auto-Tires-Trucks","Automotive - Original Equipment","5.79"
"Alvotech","ALVO","4","1605.61","5.19","1009547","2.5","41.11","25.47","38.8","-8.03","19.7","-35.01","8.98","3","162","Medical","Medical - Biomedical and Genetics","-36.31"
"Antero Midstream","AM","3","10727.63","22.9","2139960",".8","3.01","5.95","84.5","12.67","7.43","32.41","23.6","17.15","186","Oils-Energy","Oil and Gas - Integrated - United States","32.41"
"Applied Materials","AMAT","2","360856.69","472.79","7092963","-.8","-12.91","-22.38","52.49","56.92","4.39","28.25","723","158.24","45","Computer and Technology","Electronics - Semiconductors","30.05"
"Ambarella","AMBA","3","2758.87","63.48","1194969","-9.35","-23.34","-10.34","30.39","-21.27","37.15","7.34","95.51","48.65","45","Computer and Technology","Electronics - Semiconductors","-13.48"
"Ambiq Micro, Inc.","AMBQ","2","1389.4","59.62","409495","-1.47","-10.12","-32.8","51.23","78.78","-4.67","-17.02","90.48","22.76","45","Computer and Technology","Electronics - Semiconductors","-37.77"
"Amcor","AMCR","3","20874.91","44.34","3597748","-1.61","-4.16","9.83","60.91","-3.97","56.61","7.93","50.58","36.69","168","Industrial Products","Containers - Paper and Packaging","4.71"
"AMC Global Media Inc.","AMCX","1","514.8","12.08","471110","-.87","5.32","29.06","94.15","16.26","-4.52","1.69","12.85","6.52","95","Consumer Discretionary","Media Conglomerates","-.88"
"Advanced Micro Devices","AMD","3","779621.06","505.74","16522760","1.46","1.71","-12.73","75.96","97.77","34.34","23.02","580.91","151.14","29","Computer and Technology","Computer - Integrated Systems","15.58"
"AMETEK","AME","3","54486.14","237.76","1313396","1.08","-5.99","3.15","73.75","2.69","6.63","23.32","258.52","179.28","22","Computer and Technology","Electronics - Testing Equipment","20.04"
"Amgen","AMGN","3","236380.55","393.17","2140039","1.71","4.8","24.73","96.02","18.47","9.95","31.9","444.12","271.18","162","Medical","Medical - Biomedical and Genetics","22.95"
"American Homes 4 Rent","AMH","3","11708.54","32.3","1780328","-2.49","-4.86","-.46","68.14","-10.29","7.03","25.53","34.85","27.38","156","Finance","REIT and Equity Trust - Residential","25.53"
"Amkor Technology","AMKR","1","11868.58","50.72","4060456",".99","-9.65","-44.09","33.9","7.31","6.18","7.45","93.55","24.29","45","Computer and Technology","Electronics - Semiconductors","7.45"
"AMN Healthcare Services","AMN","3","1309.07","33.73","565981","-1.4","-7.65","9.46","86.98","90.21","-8.49","3.97","36.6","15.1","174","Business Services","Business - Services","3.06"
"Ameriprise Financial","AMP","2","50392.71","556.67","359690","1.35",".54","21.89","92.79","1.39","7.04","21.38","570.68","430.4","103","Finance","Financial - Investment Management","20.24"
"Amphastar Pharmaceuticals","AMPH","3","986.03","22.93","379658","2.88","14.13","17.6","50.28","-23.23","-1.65","19.05","29.42","16.87","74","Medical","Medical - Generic Drugs","10.76"
"Amplitude","AMPL","3","1318.43","12.52","1824153","-7.66","6.81","90.35","85.27","-.28","14.68","1.25","14.3","5.61","156","Business Services","Technology Services","-26.59"
"Amprius Technologies, Inc.","AMPX","3","1400.69","10.39","4481225",".1","-16.26","-41.2","18.52","11.17","202.11","-12.78","22.91","6.93","156","Business Services","Technology Services","-35.16"
"Alpha Metallurgical Resources","AMR","5","2857.98","223.74","349684","-4.37","46.55","18.46","78.69",".02","-27.99","-2.23","249.65","135.9","183","Basic Materials","Mining - Miscellaneous","-2.23"
"Ameresco","AMRC","3","1228.48","23.93","698730","4.66","-8.43","-17.73","18.77","-29.9","9.16","1.63","43.23","18.51","102","Oils-Energy","Alternative Energy - Other","1.4"
"Amneal Pharmaceuticals","AMRX","3","5569.53","17.05","1673295","-.17","-2.46","7.39","82.62","22.76","8.05","9.98","19.1","9.55","160","Medical","Medical - Drugs","5.05"
"Amrize Ltd","AMRZ","5","24236.05","41.95","3729720",".27","-5.34","-18.88","4.38","-28.14",".95","10.92","65.86","42.81","103","Construction","Building Products - Miscellaneous","9.89"
"American Superconductor","AMSC","4","1431.46","30.44","575659","2.93","-4.65","-28.05","8.84","-8.94","34.26","48.04","66.68","25.95","45","Computer and Technology","Electronics - Miscellaneous Components","42.56"
"AMERISAFE","AMSF","5","481.75","24.9","409813","-.19","-7.64","-16.16","1.35","-39.99","2.66","11.73","47.25","25.7","223","Finance","Insurance - Accident and Health","14"
"American Tower","AMT","3","81939.08","175.73","1837504",".09","3.99","-5.33","37.94","-11.17","5.11","31.08","198.32","162.11","101","Finance","REIT and Equity Trust - Other","31.08"
"Amerant Bancorp","AMTB","1","1163.16","29.21","302063","3.38","3.52","27.33","93.52","34.92","11.65","18.25","30.58","16.7","63","Finance","Banks - Southeast","8.76"
"Amentum Holdings, Inc.","AMTM","3","4904.8","20.14","2452751",".35","-17.92","-10.53",".91","-38.65","71.59","4.22","37.53","19.9","156","Construction","Engineering - R and D Services","1.44"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","3","69115","23","2883990","-.17","-3.73","-15.38","42.42","-1.31","3.21","9.38","27.75","19.5","202","Computer and Technology","Wireless Non-US ","9.38"
"Amazon.com","AMZN","2","2788370","256.97","30912724","-.49","-7.04","5.08","70.07","-.67","12.38","10.29","284.02","198.79","155","Retail-Wholesale","Internet - Commerce","17.44"
"AutoNation","AN","3","7020.79","209.3","315107","5.52","2.05","9.81","65.71","-8.79","3.24","2.66","229.98","178.59","202","Retail-Wholesale","Automotive - Retail and Whole Sales","2.82"
"AnaptysBio","ANAB","4","1681.76","56.6","393320","-.4","2.4","-4.55","73.59","3.91","157.01","-11.53","70.22","19.4","162","Medical","Medical - Biomedical and Genetics","-11.53"
"The Andersons","ANDE","NA","2360.29","70.92","367969","6.84","5.83","-.8","72.79","15.61","-2.21","1.92","80.87","38.38","103","Basic Materials","Agriculture - Products","1.62"
"Arista Networks","ANET","2","244400.13","194.96","5438105","-.98","1.18","14.6","82.28","31.16","28.6","41.92","210.5","116.13","85","Computer and Technology","Internet - Software","38.37"
"Abercrombie & Fitch","ANF","1","6650.09","151.43","2279670","4.61","26.27","64.29","100","5.46","6.42","8.59","149.67","65.61","73","Retail-Wholesale","Retail - Apparel and Shoes","10.03"
"AngioDynamics","ANGO","4","628.25","15.22","334710","-5.77","-3.49","26.88","85.54","4.99","9.46","-3.13","16.13","9.7","100","Medical","Medical - Instruments","-11.48"
"ANI Pharmaceuticals","ANIP","3","1636.18","70.23","352133","-2.76","-5.98","-13.44","2.61","-19.97","43.78","18.68","98.81","70.49","162","Medical","Medical - Biomedical and Genetics","11.07"
"Aon","AON","3","68535.61","315.79","972315",".49","-9.49","-1.95","20.3","-18.8","9.45","22.3","381.26","308.27","193","Finance","Insurance - Brokerage","22.27"
"Artivion","AORT","3","1246.7","25.13","631083","-5.26","-2.81","21.36","19.87","-50.28","13.59","5.74","47.63","20.1","100","Medical","Medical - Instruments","-.67"
"A. O. Smith","AOS","3","8219.75","58.82","1179288","2.28","-3.09",".77","19.04","-19.8",".32","13.6","80.47","55.78","92","Industrial Products","Manufacturing - Electronics","13.15"
"Alpha and Omega Semiconductor","AOSL","2","762.53","25.51","600289","2.19","-27.08","-46.79","21.56","12.82","-2.48","-1.92","53.32","17.47","45","Computer and Technology","Electronics - Semiconductors","-6.23"
"APA","APA","3","14984.54","43.55","4882182","-.88","4.27","23.01","91.64","55.08","-5.31","21.07","44.69","21.66","103","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48"
"Artisan Partners Asset Management","APAM","5","3370.19","41.06","734798","-2.35","-1.49","15.28","57.62","-9.5","7.64","26.63","47.16","33.97","103","Finance","Financial - Investment Management","24.08"
"Air Products and Chemicals","APD","3","67088.47","297.71","876774","-2.65","-2.24","6.47","84.51","8.17","-.52","23.4","314.19","230.76","94","Basic Materials","Chemical - Diversified ","-.38"
"APi Group","APG","3","17303.7","40.2","2487125","2.01","-5.39","-3.89","40.61","-7.19","12.72","15.24","49.4","33.64","174","Business Services","Business - Services","3.99"
"Amphenol","APH","2","204132.73","81.76","10600161","4.42","-1.28","4.39","83.67","8.65","51.71","19.17","88.16","55.22","10","Computer and Technology","Electronics - Connectors","17.73"
"Applied Digital Corporation","APLD","5","7686.04","28.31","14707389","3.78","-9.26","-43.25","34.9","-4.62","323.95","-42.69","49.65","13.89","103","Finance","Financial - Miscellaneous Services","-37.78"
"Apple Hospitality REIT","APLE","3","3682.89","15.26","2044745","-2.19","-.7","-3.41","75.08","16.75","-1.33","12.17","17.07","11.17","101","Finance","REIT and Equity Trust - Other","12.17"
"Apollo Global Management","APO","3","78937.9","131.81","2776541","-2.13","1.25","-1.79","63.68","-18.11","22.73","125.39","152.7","100.3","103","Finance","Financial - Investment Management","5.22"
"AppLovin","APP","3","107275.73","312.01","4980651","2.72","-5.44","-38.46","5.05","-57.81","16.38","64.58","733.6","298.59","156","Business Services","Technology Services","64.58"
"AppFolio","APPF","2","7589.15","206.015","352472","-8.51","7.39","35.44","49.57","-18.31","19.72","20.77","286.46","143.34","85","Computer and Technology","Internet - Software","15.13"
